name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Lionel Messi,"Paris Saint-Germain,",35,", AM(CR),FW",13,1132,4.3,1.6,0.1,2.6,8.65
Armand Laurienté,"Lorient,",24,", AM(LR),FW",3,269,4.7,2,0.3,2.3,8.61
Neymar,"Paris Saint-Germain,",30,", AM(CLR),FW",14,1085,2.4,0.6,0.2,1.5,7.96
Erling Haaland,"Manchester City,",22,", FW",13,1041,4,0.2,0.9,2.8,7.9
Kylian Mbappé,"Paris Saint-Germain,",23,", AM(LR),FW",14,1146,4.3,0.8,0.1,3.4,7.87
Asmir Begovic,"Everton,",35,", GK",1,90,0,0,0,0,7.82
Kevin De Bruyne,"Manchester City,",31,", M(CLR),FW",14,1135,2.4,1.8,0,0.6,7.76
Martin Terrier,"Rennes,",25,", AM(CL),FW",14,1204,3,0.9,0.2,1.9,7.76
Robert Lewandowski,"Barcelona,",34,", FW",14,1068,3.6,0.4,0.6,2.6,7.73
Joshua Kimmich,"Bayern Munich,",27,", D(CR),DMC,M(R)",15,1277,1.2,0.9,0,0.3,7.67
Rémy Cabella,"Lille,",32,", M(CLR),FW",9,724,1.2,0.2,0.1,0.9,7.65
Jamal Musiala,"Bayern Munich,",19,", M(CL)",14,1000,2.6,0.4,0.4,1.8,7.64
Karim Benzema,"Real Madrid,",34,", FW",7,628,4.9,1.6,0.3,3,7.61
Kieran Trippier,"Newcastle,",32,", D(LR),M(R)",15,1327,0.4,0.4,0,0,7.6
Gabriel Jesus,"Arsenal,",25,", AM(LR),FW",14,1226,3.6,0.1,0.6,2.9,7.59
Sofiane Diop,"Monaco,",22,", AM(CLR)",1,66,2,0,1,1,7.56
Khvicha Kvaratskhelia,"Napoli,",21,", AM(CLR)",12,876,2.8,0.9,0,1.9,7.55
Reiss Nelson,"Arsenal,",22,", M(LR)",2,64,1.5,0,0.5,1,7.48
Harry Kane,"Tottenham,",29,", AM(C),FW",15,1338,3.7,0.8,0.7,2.2,7.47
Marcus Thuram,"Borussia M.Gladbach,",25,", AM(L),FW",15,1350,3.7,0.3,0.3,3.1,7.45
Jude Bellingham,"Borussia Dortmund,",19,", M(CLR)",15,1350,2.1,0.9,0.1,1.1,7.45
Vinícius Júnior,"Real Madrid,",22,", AM(L),FW",14,1231,2.6,0.9,0.1,1.5,7.44
Alexandre Lacazette,"Lyon,",31,", M(CLR),FW",15,1303,3.1,0.7,0.4,2,7.44
Christopher Nkunku,"RB Leipzig,",25,", M(CLR),FW",15,1283,2.9,0.7,0.1,2.1,7.43
Niclas Füllkrug,"Werder Bremen,",29,", FW",14,1219,3.3,1,0.4,1.9,7.42
Aleksandar Mitrovic,"Fulham,",28,", FW",12,1021,4.7,0.7,0.6,3.4,7.42
Enzo Le Fée,"Lorient,",22,", M(CLR)",15,1334,1.3,1,0.1,0.3,7.42
Victor Osimhen,"Napoli,",23,", FW",11,905,4.4,0.5,1.1,2.7,7.42
Sergej Milinkovic-Savic,"Lazio,",27,", AM(C)",14,1157,1.5,0.7,0.1,0.7,7.41
Vincenzo Grifo,"Freiburg,",29,", AM(CL)",15,1130,2.3,1.1,0.1,1.1,7.41
Dango Ouattara,"Lorient,",20,", AM(LR)",14,1197,2.7,1.1,0.4,1.3,7.4
Florian Sotoca,"Lens,",32,", AM(CR),FW",15,1239,2.8,0.6,0.3,1.9,7.4
Rodrygo,"Real Madrid,",21,", AM(CLR),FW",12,914,3.3,1.3,0.3,1.8,7.4
James Maddison,"Leicester,",26,", AM(CLR)",13,1100,3,1.5,0,1.5,7.39
Martin Ødegaard,"Arsenal,",23,", AM(CR)",13,1083,2.3,1.1,0.1,1.2,7.38
Youcef Belaïli,"AC Ajaccio,",30,", AM(L)",5,324,2.6,0.8,0,1.8,7.38
Phil Foden,"Manchester City,",22,", AM(CLR),FW",14,911,1.9,0.4,0.1,1.5,7.37
Paulo Dybala,"Roma,",29,", AM(CR),FW",9,601,2.9,0.9,0.1,1.9,7.36
Michael Gregoritsch,"Freiburg,",28,", AM(CR),FW",15,1128,2.5,0.4,0.3,1.8,7.36
Bukayo Saka,"Arsenal,",21,", D(L),M(CLR)",14,1179,2.1,0.5,0.1,1.4,7.35
Gabriel Martinelli,"Arsenal,",21,", AM(L),FW",14,1187,2.4,0.9,0.2,1.3,7.35
Federico Valverde,"Real Madrid,",24,", M(CLR)",14,1108,2.2,1.4,0.1,0.8,7.35
Rodri,"Manchester City,",26,", D(C),DMC",13,1125,1.5,0.8,0,0.7,7.34
Benjamin André,"Lille,",32,", D(R),M(CLR)",14,1218,0.9,0.3,0,0.6,7.34
Ousmane Dembélé,"Barcelona,",25,", AM(CLR),FW",14,874,2.1,0.6,0.1,1.5,7.33
Bruno Guimarães,"Newcastle,",25,", DMC",12,999,0.8,0.5,0.1,0.3,7.33
Jonathan David,"Lille,",22,", AM(C),FW",15,1331,3.3,0.6,0.2,2.5,7.33
Serge Gnabry,"Bayern Munich,",27,", AM(CLR),FW",15,834,2.7,0.5,0.1,2.1,7.33
Lucas Paquetá,"Lyon,",25,", AM(CLR),FW",2,161,2.5,0,0,2.5,7.32
Amine Gouiri,"Rennes,",22,", AM(L),FW",10,794,2.4,0.3,0.4,1.7,7.32
Rodrigo Bentancur,"Tottenham,",25,", M(C)",14,1186,0.9,0.2,0.1,0.6,7.32
Thomas Müller,"Bayern Munich,",33,", M(CLR),FW",8,589,1.8,0.3,0.3,1.3,7.32
Mikel Merino,"Real Sociedad,",26,", M(C)",14,1129,1.7,0.5,0.1,1.1,7.31
Ivan Toney,"Brentford,",26,", FW",14,1260,2.9,0.4,0.6,1.9,7.3
Eric Choupo-Moting,"Bayern Munich,",33,", M(CLR),FW",10,520,1.5,0.1,0.2,1.2,7.29
Julian Chabot,"FC Koln,",24,", D(C)",2,128,1.5,0,1.5,0,7.28
Luis Díaz,"Liverpool,",25,", AM(L)",8,615,2,0.3,0.3,1.5,7.28
Adrien Rabiot,"Juventus,",27,", DMC,M(L)",11,935,1.2,0.5,0.2,0.5,7.28
Leroy Sané,"Bayern Munich,",26,", M(CLR),FW",13,840,3.1,1.4,0,1.7,7.27
Thomas Partey,"Arsenal,",29,", D(R),M(CR)",11,961,1.1,0.6,0.1,0.4,7.27
Kepa Arrizabalaga,"Chelsea,",28,", GK",6,496,0,0,0,0,7.27
Randal Kolo Muani,"Eintracht Frankfurt,",24,", AM(R),FW",14,1122,2,0.3,0.4,1.3,7.25
Lukas Kübler,"Freiburg,",30,", D(R),M(R)",5,424,1,0,0.2,0.8,7.25
Jonas Hofmann,"Borussia M.Gladbach,",30,", D(R),M(CLR)",13,1155,1.5,0.4,0.1,1.1,7.25
Frenkie de Jong,"Barcelona,",25,", D(C),DMC",13,898,1,0.5,0.1,0.4,7.24
