,name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,passRate,aerialWonPerGame,manOfMatch,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnOverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
0,Lionel Messi,"PSG,",35,Ligue 1,MF,13,1132,7,10,0,0,83.4,0,7,0.8,0,0.2,0,0,0.5,0,0,4.3,2.6,3.6,1.4,0.2,2.4,1.5,59.9,83.4,0.8,2.9,1.3,8.65
1,Neymar,"PSG,",30,Ligue 1,MF,12,1085,11,9,3,0,82.6,0.1,2,1.1,0.1,1.1,0,0,0.7,0.1,0,2.4,2.7,1.8,3.3,0.2,1.6,2.1,59.9,82.6,0.7,1.9,0.6,7.96
2,Erling Haaland,"Man City,",22,Premier League,FW,12,1041,18,3,2,0,76.5,1,3,0.1,0.1,0.7,0,0.3,0.1,0,0,4,1.1,0.3,0.7,0.3,0.9,1.3,14.4,76.5,0,0.1,0.2,7.9
3,Kylian Mbappé,"PSG,",23,Ligue 1,MF,13,1146,12,2,2,0,84,0.4,1,0.3,0.2,0.6,0,0.2,0.4,0,0,4.3,1.9,1.9,0.7,1.4,1.3,2.4,34.7,84,0.4,0.3,0.1,7.87
4,Kevin De Bruyne,"Man City,",31,Premier League,MF,13,1135,3,9,0,0,79.5,0.4,5,1.1,0.2,0.9,0,0.3,0.7,0.1,0,2.4,3.4,0.8,0.9,0.1,1.1,1.2,43.5,79.5,2.4,2.9,0.5,7.76
5,Martin Terrier,"Rennes,",25,Ligue 1,MF,14,1204,8,3,0,0,76.4,4,7,1.6,0.9,0.9,0,0.4,0.8,0.1,0,3,1.7,0.6,1.6,0.3,0.8,1.8,37,76.4,0.2,1.4,0.2,7.76
6,Robert Lewandowski,"Barcelona,",34,La Liga,FW,13,1068,13,4,0,1,80,1.1,7,0.5,0,1.4,0.1,0.1,0.3,0,0,3.6,1.1,0.9,1.4,0.5,1.1,2.6,20,80,0.2,0.6,0.1,7.73
7,Joshua Kimmich,"Bayern,",27,Bundesliga,DF,14,1277,2,3,3,0,89.2,0.7,1,2.3,1.4,0.9,0,1.1,1,0,0,1.2,2.7,0.5,1.4,0,1,0.7,78.7,89.2,2.2,5.9,0.3,7.67
8,Rémy Cabella,"Lille,",32,Ligue 1,MF,8,724,3,5,0,0,86.4,0.2,1,1.9,0.6,0.9,0,0.4,0.4,0.2,0,1.2,3.1,0.7,1.3,0.1,0.8,1.1,57.3,86.4,1.2,1.7,0.3,7.65
9,Jamal Musiala,"Bayern,",19,Bundesliga,MF,12,1000,9,6,0,0,83.9,0.5,3,1.1,0.5,0.6,0,0.2,0.3,0.1,0,2.6,1.8,1.6,1.2,0.1,2.4,2.9,31.4,83.9,0,0.3,0.1,7.64
10,Kieran Trippier,"Newcastle,",32,Premier League,DF,15,1327,1,3,3,0,77.3,1.2,5,1.9,1.3,0.8,0.3,2,0.9,0.5,0,0.4,2.3,0.3,0.7,0.2,0.1,0.7,51.8,77.3,3.5,3.3,0.3,7.6
11,Gabriel Jesus,"Arsenal,",25,Premier League,MF,14,1226,5,5,4,0,81.9,1.7,2,1.4,0.6,1.7,0,0.6,0.6,0.1,0,3.6,1.6,1.9,2.7,0.6,2.9,3.9,27.6,81.9,0.1,0.5,0.1,7.59
12,Khvicha Kvaratskhelia,"Napoli,",21,Serie A,MF,11,876,6,5,0,0,81.6,0.2,4,1.3,0,0.6,0,0.3,0.4,0,0,2.8,1.9,1.6,1.3,0.3,1.7,2.4,22.7,81.6,0.2,0.6,0.3,7.55
13,Harry Kane,"Tottenham,",29,Premier League,MF,15,1338,12,1,4,0,73.3,1.2,2,0.3,0.1,0.7,0.1,0.3,0.3,0.2,0,3.7,1.9,0.9,1.4,0.2,2,1.9,22,73.3,0.3,1.9,0.1,7.47
14,Marcus Thuram,"Borussia M.Gladbach,",25,Bundesliga,MF,15,1350,10,3,2,0,73.3,1.3,3,0.5,0.3,1.5,0,0.7,0.1,0.1,0,3.7,0.9,1.5,1.3,0.9,1.3,3.2,16.7,73.3,0.1,0.1,0.1,7.45
15,Jude Bellingham,"Borussia Dortmund,",19,Bundesliga,MF,15,1350,3,2,4,0,82.5,1.5,4,3.2,1.4,1,0,1.1,0.3,0.2,0,2.1,1,2,3,0,2.5,2.4,51.9,82.5,0.1,4.1,0.2,7.45
