name,team,age,position,apps,minutesPlayed,assistTotal,keyPassPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
Lionel Messi,"PSG,",35,", AM(CR),FW",13,1132,10,2.6,59.9,83.4,0.8,2.9,1.3,8.65
Neymar,"PSG,",30,", AM(CLR),FW",12(2),1085,9,2.7,59.9,82.6,0.7,1.9,0.6,7.96
Erling Haaland,"Man City,",22,", FW",12(1),1041,3,1.1,14.4,76.5,0,0.1,0.2,7.9
Kylian Mbappé,"PSG,",23,", AM(LR),FW",13(1),1146,2,1.9,34.7,84,0.4,0.3,0.1,7.87
Kevin De Bruyne,"Man City,",31,", M(CLR),FW",13(1),1135,9,3.4,43.5,79.5,2.4,2.9,0.5,7.76
Martin Terrier,"Rennes,",25,", AM(CL),FW",14,1204,3,1.7,37,76.4,0.2,1.4,0.2,7.76
Robert Lewandowski,"Barcelona,",34,", FW",13(1),1068,4,1.1,20,80,0.2,0.6,0.1,7.73
Joshua Kimmich,"Bayern,",27,", D(CR),DMC,M(R)",14(1),1277,3,2.7,78.7,89.2,2.2,5.9,0.3,7.67
Rémy Cabella,"Lille,",32,", M(CLR),FW",8(1),724,5,3.1,57.3,86.4,1.2,1.7,0.3,7.65
Jamal Musiala,"Bayern,",19,", M(CL)",12(2),1000,6,1.8,31.4,83.9,0,0.3,0.1,7.64
Kieran Trippier,"Newcastle,",32,", D(LR),M(R)",15,1327,3,2.3,51.8,77.3,3.5,3.3,0.3,7.6
Gabriel Jesus,"Arsenal,",25,", AM(LR),FW",14,1226,5,1.6,27.6,81.9,0.1,0.5,0.1,7.59
Khvicha Kvaratskhelia,"Napoli,",21,", AM(CLR)",11(1),876,5,1.9,22.7,81.6,0.2,0.6,0.3,7.55
Harry Kane,"Tottenham,",29,", AM(C),FW",15,1338,1,1.9,22,73.3,0.3,1.9,0.1,7.47
Marcus Thuram,"Borussia M.Gladbach,",25,", AM(L),FW",15,1350,3,0.9,16.7,73.3,0.1,0.1,0.1,7.45
Jude Bellingham,"Borussia Dortmund,",19,", M(CLR)",15,1350,2,1,51.9,82.5,0.1,4.1,0.2,7.45
Vinícius Júnior,"Real Madrid,",22,", AM(L),FW",14,1231,3,1.9,33,82,0.1,0.7,0.1,7.44
Alexandre Lacazette,"Lyon,",31,", M(CLR),FW",15,1303,3,1.7,25.5,73.1,0.2,0.7,0.1,7.44
Christopher Nkunku,"RBL,",25,", M(CLR),FW",14(1),1283,0,1.8,27.9,82.6,0.3,1.7,0.1,7.43
Niclas Füllkrug,"Werder Bremen,",29,", FW",14,1219,2,1.4,31.1,62.5,0.2,1.6,0,7.42
Aleksandar Mitrovic,"Fulham,",28,", FW",12,1021,0,0.9,19.7,57.2,0,1,0.1,7.42
Enzo Le Fée,"Lorient,",22,", M(CLR)",15,1334,3,2.7,55.7,84.8,1.1,3.5,0.3,7.42
Victor Osimhen,"Napoli,",23,", FW",10(1),905,2,1.1,11.5,74,0,0.2,0,7.42
Sergej Milinkovic-Savic,"Lazio,",27,", AM(C)",13(1),1157,7,1.4,52.4,76.3,0.1,2.7,0.4,7.41
Vincenzo Grifo,"Freiburg,",29,", AM(CL)",14(1),1130,2,2.1,38.5,80.1,0.7,2.5,0.3,7.41
Dango Ouattara,"Lorient,",20,", AM(LR)",14,1197,4,1.1,22.4,65.9,0.1,0.5,0.1,7.4
Florian Sotoca,"Lens,",32,", AM(CR),FW",14(1),1239,5,2,39.3,81,0.6,2.5,0.4,7.4
Rodrygo,"Real Madrid,",21,", AM(CLR),FW",10(2),914,4,1.4,27.4,88.1,0.3,0.3,0.1,7.4
James Maddison,"Leicester,",26,", AM(CLR)",13,1100,4,2.4,39.9,84.2,0.8,2.4,0.1,7.39
