name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Lionel Messi,PSG,35,Ligue 1,MF,13,1132,0.8,0,0.2,0,0,0.5,0,0,8.65
Neymar,PSG,30,Ligue 1,MF,12,1085,1.1,0.1,1.1,0,0,0.7,0.1,0,7.96
Erling Haaland,Man City,22,Premier League,FW,12,1041,0.1,0.1,0.7,0,0.3,0.1,0,0,7.9
Kylian Mbappé,PSG,23,Ligue 1,MF,13,1146,0.3,0.2,0.6,0,0.2,0.4,0,0,7.87
Kevin De Bruyne,Man City,31,Premier League,MF,13,1135,1.1,0.2,0.9,0,0.3,0.7,0.1,0,7.76
Martin Terrier,Rennes,25,Ligue 1,MF,14,1204,1.6,0.9,0.9,0,0.4,0.8,0.1,0,7.76
Robert Lewandowski,Barcelona,34,La Liga,FW,13,1068,0.5,0,1.4,0.1,0.1,0.3,0,0,7.73
Joshua Kimmich,Bayern,27,Bundesliga,DF,14,1277,2.3,1.4,0.9,0,1.1,1,0,0,7.67
Rémy Cabella,Lille,32,Ligue 1,MF,8,724,1.9,0.6,0.9,0,0.4,0.4,0.2,0,7.65
Jamal Musiala,Bayern,19,Bundesliga,MF,12,1000,1.1,0.5,0.6,0,0.2,0.3,0.1,0,7.64
Kieran Trippier,Newcastle,32,Premier League,DF,15,1327,1.9,1.3,0.8,0.3,2,0.9,0.5,0,7.6
Gabriel Jesus,Arsenal,25,Premier League,MF,14,1226,1.4,0.6,1.7,0,0.6,0.6,0.1,0,7.59
Khvicha Kvaratskhelia,Napoli,21,Serie A,MF,11,876,1.3,0,0.6,0,0.3,0.4,0,0,7.55
Harry Kane,Tottenham,29,Premier League,MF,15,1338,0.3,0.1,0.7,0.1,0.3,0.3,0.2,0,7.47
Marcus Thuram,Borussia M.Gladbach,25,Bundesliga,MF,15,1350,0.5,0.3,1.5,0,0.7,0.1,0.1,0,7.45
Jude Bellingham,Borussia Dortmund,19,Bundesliga,MF,15,1350,3.2,1.4,1,0,1.1,0.3,0.2,0,7.45
