name,team,age,position,apps,minutesPlayed,saveTotal,saveSixYardBox,savePenaltyArea,saveObox,rating
Asmir Begovic,"Everton,",35,", GK",1,90,4.0,0.0,4.0,0.0,7.82
Joaquín Blázquez,"Brest,",21,", Goalkeeper",1,90,3.0,0.0,2.0,1.0,7.19
Rafal Gikiewicz,"Augsburg,",35,", GK",11,990,4.8,0.2,3.1,1.5,7.17
Guillermo Ochoa,"Salernitana,",37,", GK",3,270,6.7,0.3,5.7,0.7,7.16
Kepa Arrizabalaga,"Chelsea,",28,", GK",11,946,3.5,0.4,1.6,1.5,7.16
Wayne Hennessey,"Nottingham Forest,",35,", GK",1,90,5.0,0.0,5.0,0.0,7.16
Bernd Leno,"Fulham,",30,", GK",18,1620,4.4,0.4,2.7,1.2,7.15
Gerónimo Rulli,"Villarreal,",30,", GK",14,1260,3.3,0.1,2.4,0.7,7.14
Yann Sommer,"Borussia M.Gladbach,",34,", GK",10,900,4.7,0.6,2.5,1.6,7.13
Yehvann Diouf,"Reims,",23,", GK",12,1080,3.9,0.1,2.2,1.7,7.12
Jeremías Ledesma,"Cadiz,",29,", GK",17,1530,4.2,0.2,2.5,1.5,7.1
Mateusz Lis,"Troyes,",25,", GK",7,630,4.6,0.3,2.9,1.4,7.05
Gianluigi Donnarumma,"Paris Saint-Germain,",23,", GK",19,1710,2.8,0.1,1.6,1.2,7.04
Frederik Rønnow,"Union Berlin,",30,", GK",11,990,3.1,0.1,2.0,1.0,7.02
Jordi Masip,"Real Valladolid,",34,", GK",12,1080,3.6,0.3,2.1,1.3,7.0
David Raya,"Brentford,",27,", GK",19,1710,4.3,0.1,2.3,1.9,6.98
Koen Casteels,"Wolfsburg,",30,", GK",15,1350,3.5,0.4,1.7,1.3,6.98
Alisson,"Liverpool,",30,", GK",18,1620,3.4,0.3,2.2,0.9,6.97
Guglielmo Vicario,"Empoli,",26,", GK",18,1620,3.3,0.1,2.0,1.2,6.95
Pau López,"Marseille,",28,", GK",16,1440,2.8,0.0,1.9,0.9,6.94
Wojciech Szczesny,"Juventus,",32,", GK",12,1033,2.4,0.1,1.4,0.9,6.94
Claudio Bravo,"Real Betis,",39,", GK",2,180,3.5,0.5,2.5,0.5,6.93
Ivan Provedel,"Lazio,",28,", GK",17,1530,2.3,0.1,1.5,0.8,6.91
Pierluigi Gollini,"Fiorentina,",27,", GK",3,270,2.0,0.0,1.7,0.3,6.91
Mattia Perin,"Juventus,",30,", GK",6,540,3.3,0.2,1.0,2.2,6.9
Jan Olschowsky,"Borussia M.Gladbach,",21,", Goalkeeper",2,180,5.0,1.5,2.0,1.5,6.89
Mark Flekken,"Freiburg,",29,", GK",15,1350,3.1,0.1,2.1,1.0,6.88
Maxime Dupé,"Toulouse,",29,", GK",19,1710,3.6,0.4,2.1,1.2,6.88
Ionut Radu,"Cremonese,",25,", GK",9,810,5.0,0.2,3.2,1.6,6.88
Nick Pope,"Newcastle,",30,", GK",19,1710,2.6,0.0,1.6,1.0,6.88
Alban Lafont,"Nantes,",23,", GK",18,1620,3.3,0.2,1.9,1.2,6.87
Ørjan Nyland,"RB Leipzig,",32,", GK",1,90,1.0,0.0,1.0,0.0,6.87
